OASIS Pool 1 Contractor Name,OASIS Pool 1 Contract Number,DUNS Number,COCM Name,COCM Phone,COCM Email,COPM Name,COPM Phone,COPM Email,8(a),HUBZone,SDVOSB,WOSB
Addx Corporation,GS00Q14OADS301,039872622,Lynna S. Hood,571-257-4785,lhood@addxcorp.com,John Millward,571-236-0477,jmillward@addxcorp.com,,,√,
"Advanced C4 Solutions, Inc. dba AC4S",GS00Q14OADS302,118498067,Anthony Darveaux ,813-983-7463,OASIS@ac4s.com,Billy Hogan,813-983-7445,OASIS@ac4s.com,,,√,
"Advanced Systems Technology and Management, Inc. dba AdSTM",GS00Q14OADS303,049192649,Jen Kim,703-821-0678,OASIS@adstm.com,Gary Bell,240-538-8357,OASIS@adstm.com,,,,
"Agile Defense, Inc.",GS00Q14OADS339,041054441,Delores Crumlin,571-222-5251,contracts@agile-defense.com,Shine Misola,571-748-4451,OASISSB@agile-defense.com,,,,
"Analytical Services and Materials, Inc.",GS00Q14OADS304,119069052,Dr. Bala G. Bala,757-865-7093 x 311,bala@asm-usa.com,Dr. Jalaiah Unnam ,757-865-7093 x 306,junnam@asm-usa.com,,,,√
"A-P-T Research, Inc. dba APT Research",GS00Q14OADS305,791195167,Rebecca Merrill,256-327-4015 ,contracts@apt-research.com,Brian Weyenberg,256-327-4033,OASIS@apt-research.com,,,,
"Arctic Slope Technical Services, Inc.",GS00Q14OADS306,968706106,Benjamin W. Saunders,571-266-2986,OASIS@asrcfederal.com,Jeffrey Chesko,571-262-3144,OASIS@asrcfederal.com,√,,,
Atlantic CommTech Corporation,GS00Q14OADS307,048870724,Tina Ridgeway,757-858-5303 x 204,tridgeway@act-corp.com,Jim Biskaduros,703-867-1364,OASIS@act-corp.com,,,,√
"Atlas Technologies, Inc.",GS00Q14OADS308,799980859,Gary Jaffe,843-725-2285,OASIS@atlas-tech.com,John Jones,843-725-2274,OASIS@atlas-tech.com,,,,
"Avion Solutions, Inc. dba Avion",GS00Q14OADS309,804859841,Kim Taylor,256-327-7133,OASIS@avioninc.com,Jeff Blackmon,256-327-7152,OASIS@avioninc.com,,,,
Bevilaqua Research Corporation,GS00Q14OADS310,806849303,Ken Scott,256-882-6229 x 106,BRC_OASIS@brc2.com,Andy Bevilaqua,256-882-6229 x 102,BRC_OASIS@brc2.com,,√,,
"Bowhead Logistics Solutions, LLC",GS00Q14OADS311,626979228,Lori K. Schendel,540-604-1650,OASIS-SB@bowheadsupport.com,R. Ken Trammell,865-556-9785,OASIS-SB@bowheadsupport.com,√,,,
Caelum Research Corporation,GS00Q14OADS312,196004394,Daniel Nielsen,301-424-8205 x 311,OASIS-SB@caelum.com,James Bauer,301-424-8025 x 315,OASIS-SB@caelum.com,,,,
"Client Solution Architects, LLC",GS00Q14OADS313,130196814,Ellen Barletto,619-813-2906,CSA-GSA-OASIS@csaassociates.com,Jay Heroux,540-878-1857,CSA-GSA-OASIS@csaassociates.com,√,,√,
Constellation Software Engineering Corp.,GS00Q14OADS314,102061012,Christopher Holtery,301-459-8880 x 1011,Chris.Holtery@cse-corp.com,Christopher (Chris) Stone,410-231-6023,OASIS-PM@cse-corp.com,√,,,√
