OASIS Pool 1 Contractor Name,OASIS Pool 1 Contract Number,DUNS Number,COCM Name,COCM Phone,COCM Email,COPM Name,COPM Phone,COPM Email
"Applied Research Associates, Inc., dba ARA",GS00Q14OADU601,097967608,Michelle P. Eckstein,505-881-8074,ARA_OASIS_SB@ara.com,"James ""PeeWee"" Wertz",505-883-3636,ARA_OASIS_SB@ara.com
Battelle Memorial Institute,GS00Q14OADU602,007901598,Lee Donelson,410-306-8554,OASIS@battelle.org,Satya P. Chauhan,614-424-4812,chauhan@battelle.org
"Boeing Aerospace Operations, Inc.",GS00Q14OADU603,175304687,Debra L. Bowling,972-342-8394,OASIS@boeing.com,Patrick M. Sweeney,410-824-8029,OASIS@boeing.com
"Booz Allen Hamilton, Inc.",GS00Q14OADU604,006928857,Steve Fredericks,703-377-4708,BAHOASISContract@bah.com,Matt See,703-377-5352,BAHOASISContract@bah.com
"CACI NSS, Inc.",GS00Q14OADU609,136127482,Ken Logerwell,703-679-3406,CACIOASIS@caci.com,Ted Buford,703-679-4177,CACIOASIS@caci.com
"CGI Federal, Inc.",GS00Q14OADU605,145969783,Julia Conti,703-227-4652,GSAOASIS@cgifederal.com,Mike Pullen,703-227-4050,GSAOASIS@cgifederal.com
CSRA LLC,GS00Q14OADU606,079735371,Laura Childers,571-232-1412,OASISPM@csra.com,Jeffrey Wehner,202-374-6878,OASISPM@csra.com
Engility Corporation ,GS00Q14OADU620,069341972,Peter Gaaserud,703-984-6108,OASIS@engilitycorp.com,Steve Taylor,978-655-9713,OASIS@engilitycorp.com
"Jacobs Technology, Inc.",GS00Q14OADU608,007923014,Jeffrey Foster,931-393-6262,OASIS@jacobs.com,Shawn Nunn,931-393-6429,OASIS@jacobs.com
"Kbrwyle Technology Solutions, LLC dba KBRWYLE",GS00Q14OADU607,041014242,Amy DeRieux,540-413-6954,KTS-OASIS@kbrwyle.com,Paul Schendel,301-737-1035,KTS-OASIS@kbrwyle.com
"Leidos, Inc.",GS00Q14OADU610,054781240,Sandra L. Reid,202-386-1703,OASISCOCM@leidos.com,Joseph A. Pastel,571-526-7087,OASISCOPM@leidos.com
"Lockheed Martin Integrated Systems, LLC.",GS00Q14OADU611,780820002,Kathleen Van Dorn,303-932-5008,OASIS-PMO.GR-ISGS@lmco.com,Richard Buchanan,757-374-5875,OASIS-PMO.GR-ISGS@lmco.com
"ManTech Advanced Systems International, Inc.",GS00Q14OADU612,139627525,Jeromy Block,703-218-6440,OASIS@mantech.com,Paula Bayliss,703-633-2458,OASIS@mantech.com
Northrop Grumman Systems Corporation,GS00Q14OADU613,078502520,Linda R. Bavely,703-713-4577,CONTRACTOASIS@ngc.com,Jana Haas,703-713-4938,Jana.Haas@ngc.com
"Parsons Government Services, Inc",GS00Q14OADU614,006908511,Tondra Fry,626-298-4672,OASIS-CO@parsons.com,Barry Adams,310-956-5229,OASIS-PM@parsons.com
Raytheon Company,GS00Q14OADU615,053387429,Robin A. Klonarides,571-250-1082,GSA_OASIS@raytheon.com,Raymond Moehler,571-250-1090,GSA_OASIS@raytheon.com
Science Applications International Corporation dba SAIC,GS00Q14OADU616,078883327,Sarah Getty,703-676-5335,Sarah.L.Getty@saic.com,Michelle Matthews,703-676-2013,Belinda.B.Pellegrino@saic.com
Scientific Research Corporation,GS00Q14OADU617,197138274,Josh Cook,0,OASIS@scires.com,Jeff Bringslid,801-821-7466,OASIS@scires.com
"SGT, Inc.",GS00Q14OADU618,878901396,Julie Smith,301-486-3178,OASIS@sgt-inc.com,Douglas Hayes,301-313-3503,OASIS@sgt-inc.com
Southwest Research Institute,GS00Q14OADU619,007936842,Troy Nagy,210-522-2230,OASIS@swri.org,Janice Dean,210-522-5180,OASIS@swri.org
"Vencore, Inc.",GS00Q14OADU621,965519098,Thomas Zamadics,484-687-6979,GSAOASIS@vencore.com,Chip Taylor,703-460-3301,GSAOASIS@vencore.com
