Line No,OASIS Pool 4 Contractor Name,OASIS Pool 4 Contract Number,DUNS NUMBER,FSS CONRACT NUMBER (FORMAL CONTRACT NUMBER),COCM,COCM Phone No,COCM e-mail,COPM,COPM Phone No,COPM e-mail
,,AJ14; 541712,,,,,,,,
1,Alion Science and Technology Corporation,GS00Q14OADU401,963450866,GS-04F-0336Z,David Richard,703-259-5234,OASIS-PMO@alionscience.com,Ron Crocker,978-395-7010,OASIS-PMO@alionscience.com
2,American Systems Corporation,GS00Q14OADU442,x77799799,GS-04F-0355Z,Jack Baker,703-968-5225,John.Baker@AmericanSytems.com,Ruth Bowers,703-968-5022,Ruth.Bowers@AmericanSystems.com
3,"Applied Research Associates, Inc.",GS00Q14OADU404,X97967608,GS-04F-0337Z,Marissa Otero,505-881-8074,ARA_OASIS_SB@ara.com,Bryan Milligan,505-883-3636,ARA_OASIS_SB@ara.com
4,Ball Aerospace & Technologies Corporation,GS00Q14OADU403,926451519,GS-04F-0338Z,Gayle Ashton,937-320-7054,gashton@ball.com,Dale Kirby,937-490-2732,dkirby@ball.com
5,Battelle Memorial Institute,GS00Q14OADU402,xx7901598,GS-04F-0339Z,Steven H. Jordan,614-424-6151,jordans@battelle.org,Satya P. Chauhan,614-424-6151|,Chauhan@Battelle.org
6,Boeing Service Company,GS00Q14OADU405,X74875162,GS-04F-0460Z,Kevin J. O'Brien,972-705-8241,oasis@boeing.com,Patrick M. Sweeney,301-623-0520,oasis@boeing.com
7,"Booz Allen Hamilton, Inc.",GS00Q14OADU406,XX6928857,GS-04F-0341Z,Pamela Stevens,703-377-7638,BAHOASISContract@bah.com,Ellis Khan,703-902-4580,khan_ellis@bah.com
8,"CACI, Inc. Federal",GS00Q14OADU407,114896066,GS-04F-0349Z,Ken Logerwell,703-679-3406,klogerwell@caci.com,Ted Buford,703-679-4177,tbuford@caci.com
9,Camber Corporation,GS00Q14OADU408,609570742,GS-04F-0342Z,Cindy Milstead,703-539-3068,OASIS@camber.com,Heather Mori,703-825-2583,hmori@camber.com
10,"CGI Federal, Inc.",GS00Q14OADU409,145969783,GS-04F-0343Z,Julia Conti,703-227-4652,gsaoasis@cgifederal.com,Brandon Hamilton,703-227-7522,gsaoasis@cgifederal.com
11,Computer Sciences Corporation,GS00Q14OADU410,135962137,GS-04F-0356Z,Dennis Biddle,571-438-7939,oasispm@csc.com,George Hansen,520-458-6114,oasispm@csc.com
12,Concurrent Technologies Corporation,GS00Q14OADU411,189737810,GS-04F-0344Z,Brooke Cheskiewicz,814-269-6519,OASIS@ctc.com,Susan R. Dadey,814-269-6519,OASIS@ctc.com
13,"Dynetics, Inc.",GS00Q14OADU412,X75458455,GS-04F-0345Z,Rosie Maul,256-964-4567,OASIS@dynetics.com,Cindy Griner,256-964-4259,OASIS@dynetics.com
14,Engility Corporation,GS00Q14OADU413,X48341838,GS-04F-0346Z,Sewanee Johnson,703-664-6274,Sewanee.Johnson@EngilityCorp.com,Chip Taylor,703-707-2772,Chip.Taylor@EngilityCorp.com
15,"General Dynamics Information Technology, Inc.",GS00Q14OADU414,x67641597,GS-04F-0347Z,Janet L. Skahill,703-995-6724,janet.skahill@gdit.com,Michael McHugh,703-995-5373,GDITGSA@gdit.com
16,Harris Corporation,TBD,X21715206,GS-04F-,Greg Wagner,321-727-6542,OASIS@harris.com,Greg Terry,321-729-7962,gterry@harris.com
17,"Honeywell Technology Solutions, Inc.",GS00Q14OADU416,x41014242,GS-04F-0348Z,Amy DeRieux,540-413-6954,DL-OASIS@honeywell.com,John Grassel,301-286-2338,DL-OASIS@honeywell.com
18,"ICF Incorporated, LLC",GS00Q14OADU417,072648579,GS-04F-0474Z,Jeff Beckner,703-934-3147,jeffrey.beckner@icfi.com,Mark Youman,703-934-3658,mark.youman@icfi.com
19,International Business Machines Corporation,GS00Q14OADU441,835130485,GS-04F-0354Z,Maryanne Manzi,720-396-7301,manzi1@us.ibm.com,Tom Delaney,301-318-5632,tdelaney@us.ibm.com
20,"Jacobs Technology, Inc.",GS00Q14OADU418,XX7923014,GS-04F-0358Z,Dan Sweet,931-393-6697,dan.sweet@jacobs.com,Shawn Nunn,931-393-6429,shawn.nunn@jacobs.com
21,L3 National Security Solutions,GS00Q14OADU419,136127482,GS-04F-0359Z,John Kronkaitis,703-434-4759,OASIS@L-3com.com,Vince Errigo,703-434-4897,OASIS@L-3com.com
